topic_time_ms,topic_time_us,success,return_code,acceleration_x_mps2,acceleration_y_mps2,acceleration_z_mps2
5189,5189000,1,0,0,0,0
5288,5288000,1,0,-0.01239239051938057,0.005037606693804264,-0.01304531097412109
5388,5388000,1,0,-0.006936145480722189,-0.00411620968952775,-0.007990837097167969
5488,5488000,1,0,0.00962755735963583,-0.006603820715099573,-0.01351165771484375
5588,5588000,1,0,-0.005361372604966164,-0.005863755475729704,-0.003774642944335938
5688,5688000,1,0,0.01197563670575619,-0.01263235229998827,-0.0007581710815429688
5788,5788000,1,0,-0.0002576609258539975,0.00268034846521914,0.008236885070800781
5888,5888000,1,0,-0.002989622997120023,0.006502754054963589,0.01504039764404297
5988,5988000,1,0,-0.001989954384043813,1.230092266268912e-06,0.01006317138671875
6088,6088000,1,0,0.00404697610065341,-0.009360944852232933,0.009541511535644531
6188,6188000,1,0,-0.003775875316932797,0.007204996421933174,-0.005312919616699219
6288,6288000,1,0,0.001967272721230984,-0.01576593145728111,0.008487701416015625
6388,6388000,1,0,0.004691669717431068,0.01426504459232092,0.01064205169677734
6488,6488000,1,0,-0.004024113528430462,-0.002002900233492255,-0.002097129821777344
6588,6588000,1,0,-0.007212147116661072,-0.00178877601865679,0.005017280578613281
6688,6688000,1,0,0.009450766257941723,-0.009217252023518085,-0.003064155578613281
6788,6788000,1,0,-0.007309591397643089,-0.005620153620839119,0.00412750244140625
6888,6888000,1,0,0.006127607077360153,-0.009038474410772324,0.01045989990234375
6988,6988000,1,0,0.002607416827231646,-0.007594387978315353,-0.004926681518554688
7088,7088000,1,0,-0.01239234115928411,0.005996469408273697,-0.00025177001953125
7187,7187000,1,0,0.005233635194599628,-0.00482498575001955,-0.005876541137695312
7288,7288000,1,0,-0.00129047897644341,-0.00616360129788518,-0.002105712890625
7388,7388000,1,0,-0.0002329827984794974,0.004747435916215181,0.00646209716796875
7488,7488000,1,0,-0.0026360172778368,0.01041224040091038,-0.00428009033203125
7588,7588000,1,0,-0.005172063130885363,-0.00774034857749939,0.01387596130371094
7688,7688000,1,0,0.01442766282707453,-0.02347475104033947,-0.00496673583984375
7788,7788000,1,0,-0.00914696604013443,0.001870593638159335,-0.0007352828979492188
7888,7888000,1,0,0.001373304170556366,-0.005210848525166512,-0.002133369445800781
7988,7988000,1,0,-0.005086400546133518,-0.002522174268960953,0.00933837890625
8088,8088000,1,0,-0.0008022221736609936,0.001056330860592425,0.002367019653320312
8188,8188000,1,0,-8.916815568227321e-05,-0.001442105392925441,-0.003782272338867188
8288,8288000,1,0,0.002967040054500103,0.008924522437155247,0.01055240631103516
8388,8388000,1,0,0.001396157895214856,0.005500416737049818,0.003499031066894531
8488,8488000,1,0,-0.0009073590044863522,-0.0005618076538667083,-0.001488685607910156
8588,8588000,1,0,0.0008114803349599242,-0.004989702720195055,0.0007104873657226562
8688,8688000,1,0,-0.002231862396001816,0.01086124498397112,0.004910469055175781
8788,8788000,1,0,0.0009739805245772004,0.004859509877860546,-0.003217697143554688
8888,8888000,1,0,-0.004430306144058704,0.01119186822324991,-0.00653076171875
8988,8988000,1,0,0.01224101986736059,-0.01582978665828705,-0.00215911865234375
9088,9088000,1,0,-0.006535452790558338,-0.01474874839186668,-0.002590179443359375
9188,9188000,1,0,0.006940592546015978,-0.01124832034111023,-0.01073074340820312
