topic_time_ms,topic_time_us,success,return_code,q0_w,q1_x,q2_y,q3_z
5187,5187000,1,0,0.5663534998893738,-0.009712428785860538,-0.00272760889492929,0.8241007328033447
5287,5287000,1,0,0.5663282871246338,-0.009705077856779099,-0.002748762024566531,0.8241180777549744
5388,5388000,1,0,0.5663113594055176,-0.009697956033051014,-0.00275944103486836,0.8241297602653503
5487,5487000,1,0,0.5663037300109863,-0.009702028706669807,-0.002765534911304712,0.8241349458694458
5587,5587000,1,0,0.5663148760795593,-0.009714488871395588,-0.002763298340141773,0.8241271376609802
5687,5687000,1,0,0.5663645267486572,-0.009719422087073326,-0.002772934967651963,0.8240928649902344
5787,5787000,1,0,0.5663451552391052,-0.00971668679267168,-0.002767852041870356,0.8241062164306641
5888,5888000,1,0,0.5663158297538757,-0.009724399074912071,-0.002766121411696076,0.8241263628005981
5987,5987000,1,0,0.5662941336631775,-0.009716492146253586,-0.002769649727270007,0.8241413235664368
6087,6087000,1,0,0.5662774443626404,-0.009710195474326611,-0.002759126713499427,0.824152946472168
6187,6187000,1,0,0.5662404894828796,-0.009700712747871876,-0.002752529922872782,0.8241783976554871
6287,6287000,1,0,0.566258430480957,-0.009695835411548615,-0.002741241594776511,0.8241661787033081
6387,6387000,1,0,0.5662952065467834,-0.009705998934805393,-0.002743361750617623,0.8241407871246338
6487,6487000,1,0,0.5662928819656372,-0.009717334993183613,-0.002738253911957145,0.8241423368453979
6587,6587000,1,0,0.5663177371025085,-0.009714520536363125,-0.00272391876205802,0.8241252303123474
6687,6687000,1,0,0.5663130283355713,-0.009720076806843281,-0.002737395698204637,0.8241284489631653
6787,6787000,1,0,0.5663294196128845,-0.009728709235787392,-0.002730116248130798,0.8241170048713684
6887,6887000,1,0,0.5663291215896606,-0.009730641730129719,-0.002722183708101511,0.8241171836853027
6987,6987000,1,0,0.5663497447967529,-0.009765003807842731,-0.00272602285258472,0.8241026401519775
7087,7087000,1,0,0.5663403272628784,-0.009764049202203751,-0.002727692946791649,0.8241091966629028
7187,7187000,1,0,0.5663153529167175,-0.009767415933310986,-0.002729694591835141,0.8241262435913086
7287,7287000,1,0,0.5663480758666992,-0.00973912701010704,-0.002729823347181082,0.8241041302680969
7387,7387000,1,0,0.5664040446281433,-0.009739633649587631,-0.002729135099798441,0.8240656852722168
7488,7488000,1,0,0.5664345622062683,-0.009741275571286678,-0.002728504594415426,0.8240446448326111
7587,7587000,1,0,0.5664243102073669,-0.009750352241098881,-0.002737708855420351,0.8240516185760498
7687,7687000,1,0,0.5664709806442261,-0.009729413315653801,-0.002718327566981316,0.8240197896957397
7787,7787000,1,0,0.5664865970611572,-0.009738320484757423,-0.00271810288541019,0.8240089416503906
7887,7887000,1,0,0.5664379596710205,-0.009724644012749195,-0.002720048418268561,0.8240425586700439
7987,7987000,1,0,0.5664387345314026,-0.009735817089676857,-0.002717345952987671,0.8240419030189514
8087,8087000,1,0,0.5664324164390564,-0.009727141819894314,-0.002713930793106556,0.8240463137626648
8187,8187000,1,0,0.5664384365081787,-0.009722133167088032,-0.002729888074100018,0.8240422010421753
8287,8287000,1,0,0.5664083361625671,-0.00970922876149416,-0.002739574760198593,0.8240630030632019
8387,8387000,1,0,0.566417932510376,-0.009715542197227478,-0.002731784479692578,0.8240563869476318
8487,8487000,1,0,0.5663762092590332,-0.009716811589896679,-0.002760667121037841,0.824084997177124
8587,8587000,1,0,0.5663685202598572,-0.009723473340272903,-0.002774158725515008,0.8240900635719299
8687,8687000,1,0,0.5663528442382812,-0.00973927229642868,-0.002775474917143583,0.8241007328033447
8787,8787000,1,0,0.5663596391677856,-0.009744603186845779,-0.002778288908302784,0.8240959644317627
8887,8887000,1,0,0.5663677453994751,-0.009730599820613861,-0.002784400247037411,0.8240905404090881
8987,8987000,1,0,0.5663934946060181,-0.009723737835884094,-0.002786114346235991,0.8240728974342346
9087,9087000,1,0,0.5664098262786865,-0.009728317148983479,-0.002799262292683125,0.8240615725517273
9187,9187000,1,0,0.5664377212524414,-0.009732279926538467,-0.002825404517352581,0.8240423202514648
9287,9287000,1,0,0.5664554834365845,-0.009697765111923218,-0.002836355939507484,0.8240304589271545
9387,9387000,1,0,0.5664854049682617,-0.009673259221017361,-0.002837425796315074,0.8240101933479309
9487,9487000,1,0,0.5664533376693726,-0.009662449359893799,-0.002848089672625065,0.8240322470664978
9587,9587000,1,0,0.5664571523666382,-0.009678028523921967,-0.002872971119359136,0.8240293860435486
9687,9687000,1,0,0.5664288997650146,-0.009670439176261425,-0.002871270291507244,0.8240489363670349
9787,9787000,1,0,0.5664716362953186,-0.009668751619756222,-0.002885165857151151,0.8240194916725159
9887,9887000,1,0,0.56648850440979,-0.009668666869401932,-0.00289445323869586,0.8240078687667847
9987,9987000,1,0,0.566521942615509,-0.009659632109105587,-0.002911800984293222,0.8239849209785461
10088,10088000,1,0,0.5665189623832703,-0.00963861495256424,-0.002913016360253096,0.8239871859550476
10187,10187000,1,0,0.5665000677108765,-0.009636696428060532,-0.002902612090110779,0.8240002989768982
10287,10287000,1,0,0.5664907693862915,-0.009633339941501617,-0.00291052833199501,0.8240067362785339
10388,10388000,1,0,0.5665026903152466,-0.009646737948060036,-0.00291987881064415,0.8239982128143311
10487,10487000,1,0,0.566487193107605,-0.009634221903979778,-0.002928663277998567,0.824009120464325
10588,10588000,1,0,0.5665256381034851,-0.009622041136026382,-0.002945289481431246,0.8239827156066895
10687,10687000,1,0,0.5665626525878906,-0.009621091187000275,-0.002953536342829466,0.8239572048187256
10787,10787000,1,0,0.5665367841720581,-0.009615183807909489,-0.002952625043690205,0.8239750266075134
10887,10887000,1,0,0.5665410757064819,-0.009597293101251125,-0.002954993396997452,0.8239724040031433
10987,10987000,1,0,0.5665401220321655,-0.009602207690477371,-0.002966205822303891,0.8239728808403015
