topic_time_ms,topic_time_us,success,return_code,velocity_x_mps,velocity_y_mps,velocity_z_mps,health
5188,5188000,1,0,-0.00165637768805027,-0.004899999126791954,-0.0009985303040593863,1
5288,5288000,1,0,-0.002020915737375617,-0.004858210682868958,-0.0007186604780144989,1
5388,5388000,1,0,-0.001648578909225762,-0.004893398843705654,-0.0003211656294297427,1
5488,5488000,1,0,-0.001551222521811724,-0.004885934293270111,-0.0002550393401179463,1
5588,5588000,1,0,-0.001683705835603178,-0.004940586630254984,-0.0001418698375346139,1
5688,5688000,1,0,-0.001479490078054368,-0.005107061937451363,2.301101267221384e-05,1
5788,5788000,1,0,-0.001479359343647957,-0.005003795959055424,-2.331897667318117e-05,1
5888,5888000,1,0,-0.00141796690877527,-0.005612690001726151,0.0001444583758711815,1
5988,5988000,1,0,-0.0009994246065616608,-0.005944345146417618,-3.159406696795486e-05,1
6088,6088000,1,0,-0.000634907279163599,-0.006574335042387247,-0.0002053979260381311,1
6187,6187000,1,0,-0.0005715449224226177,-0.006473326124250889,-0.0001794389681890607,1
6288,6288000,1,0,-0.000818434520624578,-0.006856628227978945,-0.0001197541350848041,1
6388,6388000,1,0,-0.0009984091157093644,-0.006792708300054073,-0.0001066428958438337,1
6488,6488000,1,0,-0.0008719990728422999,-0.006785375531762838,-0.0003806534805335104,1
6588,6588000,1,0,-0.0007329005748033524,-0.006690741050988436,1.248552143806592e-05,1
6687,6687000,1,0,-0.0007111691520549357,-0.006627547089010477,-7.695479871472344e-05,1
6787,6787000,1,0,-0.0006985002546571195,-0.006154878530651331,-0.0004888257244601846,1
6888,6888000,1,0,-0.0008878468652255833,-0.006145745050162077,-0.001205582404509187,1
6988,6988000,1,0,-0.000996344955638051,-0.005825155414640903,-0.00140856544021517,1
7088,7088000,1,0,-0.0008836789056658745,-0.00549997016787529,-0.001096947235055268,1
7187,7187000,1,0,-0.0009167690295726061,-0.005646133795380592,-0.0008762425277382135,1
7288,7288000,1,0,-0.0008591919904574752,-0.005253092851489782,-0.0005843425169587135,1
7388,7388000,1,0,-0.001070299185812473,-0.005205007269978523,-0.0005493101198226213,1
7488,7488000,1,0,-0.0006423689192160964,-0.005304866936057806,1.483216328779235e-05,1
7588,7588000,1,0,-0.0009089550003409386,-0.005202477797865868,-0.0003827007603831589,1
7688,7688000,1,0,-0.0002433525078231469,-0.006076707970350981,0.00027059594867751,1
7788,7788000,1,0,-0.0004611856129486114,-0.006454772315919399,0.000529186159837991,1
7888,7888000,1,0,-0.0004681285354308784,-0.006722659338265657,0.0005034897476434708,1
7988,7988000,1,0,-0.0002565643226262182,-0.006520772352814674,0.0001913171581691131,1
8088,8088000,1,0,-0.0004114631738048047,-0.006647022441029549,1.702124791336246e-05,1
8188,8188000,1,0,-0.000507092394400388,-0.006516661960631609,-0.0001921290822792798,1
8287,8287000,1,0,-0.0004775337583851069,-0.006221854593604803,-0.0004787683428730816,1
8388,8388000,1,0,-0.0006934616831131279,-0.006495028268545866,-0.0007741996669210494,1
8488,8488000,1,0,-0.0002130802749888971,-0.006491370964795351,-0.001068378682248294,1
8588,8588000,1,0,0.0003144240181427449,-0.006590945646166801,-0.001320979092270136,1
8688,8688000,1,0,0.0003077621222473681,-0.006901582702994347,-0.001446132431738079,1
8788,8788000,1,0,0.0001537372590973973,-0.00685874605551362,-0.001045347074978054,1
8888,8888000,1,0,3.168251714669168e-05,-0.006719396915286779,-0.0008475244394503534,1
8988,8988000,1,0,-0.0003792156931012869,-0.006888784002512693,-0.0007250185590237379,1
9088,9088000,1,0,-0.0003533206472638994,-0.00638818833976984,-0.0004801008617505431,1
9188,9188000,1,0,-8.122037979774177e-05,-0.006204922683537006,9.889278589980677e-05,1
9288,9288000,1,0,0.0002594051766209304,-0.006014538463205099,0.0003352416679263115,1
9388,9388000,1,0,0.0003182326327078044,-0.005649161525070667,0.0001541605452075601,1
9488,9488000,1,0,0.0005369129939936101,-0.005209213122725487,0.0003735539794433862,1
9588,9588000,1,0,0.0009520855965092778,-0.004962191451340914,0.0002779224887490273,1
9688,9688000,1,0,0.001285096863284707,-0.005266023334115744,2.190923260059208e-05,1
9788,9788000,1,0,0.001283293124288321,-0.005068636033684015,4.078602796653286e-05,1
9888,9888000,1,0,0.001612026011571288,-0.004834318067878485,-2.810957084875554e-07,1
9988,9988000,1,0,0.001643280265852809,-0.004347642883658409,-4.670253838412464e-05,1
10088,10088000,1,0,0.001854246249422431,-0.00427709287032485,-0.000148877123137936,1
10188,10188000,1,0,0.00160536402836442,-0.004191932268440723,6.756676884833723e-05,1
10288,10288000,1,0,0.001626890851184726,-0.004398311022669077,0.0002073118812404573,1
10388,10388000,1,0,0.001427416456863284,-0.004080620128661394,0.0004204017459414899,1
10488,10488000,1,0,0.00140797405038029,-0.003570196684449911,0.001204302534461021,1
10588,10588000,1,0,0.001474121236242354,-0.003469958901405334,0.001122386893257499,1
10688,10688000,1,0,0.001632509171031415,-0.002856014994904399,0.001643553376197815,1
10788,10788000,1,0,0.001399975619278848,-0.002438105177134275,0.001958049368113279,1
10888,10888000,1,0,0.001188264577649534,-0.002487936755642295,0.002363823354244232,1
10988,10988000,1,0,0.0008078876999206841,-0.002508277771994472,0.002187338657677174,1
11088,11088000,1,0,0.0006879784632474184,-0.002091901376843452,0.001924635958857834,1
11188,11188000,1,0,0.0007640691474080086,-0.001949340803548694,0.001586673781275749,1
11288,11288000,1,0,0.0004326494527049363,-0.001468713860958815,0.001403537578880787,1
11388,11388000,1,0,0.0007844987558200955,-0.001623386517167091,0.001196776865981519,1
11488,11488000,1,0,0.0007678930414840579,-0.001056441571563482,0.0009659313946031034,1
11588,11588000,1,0,0.0004981161910109222,-0.001211458817124367,0.0003136863524559885,1
11688,11688000,1,0,0.0003634179302025586,-0.001008387538604438,-7.737566193100065e-05,1
11788,11788000,1,0,0.0006546773947775364,-0.0009813832584768534,-0.0003938399604521692,1
11888,11888000,1,0,0.0008404735126532614,-0.001083928509615362,-0.0004493426240514964,1
11988,11988000,1,0,0.0008404735126532614,-0.001083928509615362,-0.0004493426240514964,1
12088,12088000,1,0,0.0008198306313715875,-0.001039371942169964,-0.0003328179882373661,1
12187,12187000,1,0,0.0005771617288701236,-0.0005522220744751394,-0.0004884133231826127,1
12288,12288000,1,0,0.0005771617288701236,-0.0005522220744751394,-0.0004884133231826127,1
12388,12388000,1,0,-0.0001190297334687784,-2.633772601257078e-05,-9.464306640438735e-05,1
12488,12488000,1,0,-0.0001190297334687784,-2.633772601257078e-05,-9.464306640438735e-05,1
12588,12588000,1,0,0.0001453345466870815,-0.0002324528468307108,-0.000160041352501139,1
12688,12688000,1,0,0.000227762822760269,-0.0006023313035257161,3.006101178470999e-05,1
12788,12788000,1,0,0.0002873438061214983,-0.0005499441758729517,7.477002509403974e-05,1
12888,12888000,1,0,0.0004994734190404415,-0.001325878081843257,0.0001085674739442766,1
12988,12988000,1,0,0.0004024789377581328,-0.001454407931305468,0.0003464766778051853,1
13088,13088000,1,0,0.0005995745304971933,-0.001496950280852616,0.0006239832146093249,1
13188,13188000,1,0,0.0003726631111931056,-0.001470954506658018,0.001104561262764037,1
13287,13287000,1,0,0.0001687214826233685,-0.001030266168527305,0.001491959672421217,1
13388,13388000,1,0,-9.000913996715099e-05,-0.00105911388527602,0.00116647791583091,1
13488,13488000,1,0,-0.0006228152778930962,-0.001265710685402155,0.001397471292875707,1
13588,13588000,1,0,-0.0008389183785766363,-0.0014728739624843,0.00109092437196523,1
13688,13688000,1,0,-0.0008333724108524621,-0.001464061671867967,0.001107423333451152,1
13788,13788000,1,0,-0.0005418183282017708,-0.001956273801624775,0.0005215414566919208,1
13888,13888000,1,0,-0.0003428588970564306,-0.001676928135566413,0.0003612678265199065,1
13988,13988000,1,0,4.930547947878949e-05,-0.001489749760366976,9.333765774499625e-05,1
14088,14088000,1,0,0.0006288015865720809,-0.001416660146787763,-0.0001015106390696019,1
14188,14188000,1,0,0.0006588285323232412,-0.00183071056380868,-0.0002074202056974173,1
