topic_time_ms,topic_time_us,success,return_code,angular_rate_x_radps,angular_rate_y_radps,angular_rate_z_radps
5188,5188000,1,0,-0.0007269229972735047,0.002186485566198826,-0.0003519779129419476
5288,5288000,1,0,-0.0002477444941177964,0.002262359019368887,-0.0009270625887438655
5388,5388000,1,0,-0.000246963812969625,0.001914868131279945,-0.0002926986780948937
5488,5488000,1,0,7.12608452886343e-05,0.00271771801635623,-0.0004925997345708311
5588,5588000,1,0,-0.0004665191518142819,0.001753810327500105,-0.0003977178421337157
5688,5688000,1,0,0.0006744139827787876,0.001556778908707201,-3.095733700320125e-05
5788,5788000,1,0,0.0004658341640606523,0.003004333935678005,0.000696880160830915
5888,5888000,1,0,-0.0001125092385336757,0.002452465239912271,-0.0001129305310314521
5988,5988000,1,0,0.000817406689748168,0.002671509049832821,-0.000418102164985612
6088,6088000,1,0,8.451030589640141e-05,0.002751225605607033,-0.0002820706577040255
6188,6188000,1,0,0.0002740829950198531,0.002425678074359894,-0.0003012570086866617
6288,6288000,1,0,-0.0004421863704919815,0.002000979147851467,-0.0004788006481248885
6388,6388000,1,0,0.0002089281333610415,0.001983764115720987,-0.0004696679825428873
6488,6488000,1,0,0.0004669927293434739,0.002669326029717922,-0.001631393446587026
6588,6588000,1,0,-0.0004324503242969513,0.002651980146765709,-0.0005413813632912934
6688,6688000,1,0,-0.0004324503242969513,0.002651980146765709,-0.0005413813632912934
6788,6788000,1,0,0.0002780072391033173,0.00303473649546504,-7.028314576018602e-05
6888,6888000,1,0,0.0008553922525607049,0.002502584829926491,-0.0002469744358677417
6988,6988000,1,0,-0.0005271771224215627,0.00359054934233427,0.000156890630023554
7088,7088000,1,0,-0.000577465514652431,0.003323421347886324,0.0008320515044033527
7187,7187000,1,0,0.0001581658143550158,0.002521008718758821,-0.0009982120245695114
7288,7288000,1,0,0.0003280425444245338,0.001678591361269355,-0.001122023793868721
7388,7388000,1,0,-0.0007414174033328891,0.001532399328425527,-3.496004501357675e-05
7488,7488000,1,0,-0.0003608764382079244,0.002477312926203012,-0.0009821122512221336
7588,7588000,1,0,-0.0005943038268014789,0.002460325136780739,-0.0001851120323408395
7688,7688000,1,0,0.0003773465286940336,0.002301339991390705,-0.0006170983542688191
7788,7788000,1,0,-8.949078619480133e-06,0.002629247028380632,-0.0006300624227151275
7888,7888000,1,0,0.00101606547832489,0.001444948138669133,0.0001229603658430278
7988,7988000,1,0,-0.0001698073465377092,0.003421767614781857,0.0003009544452652335
8088,8088000,1,0,0.0005575611139647663,0.002046988345682621,-0.0008840315276756883
8188,8188000,1,0,0.000716521346475929,0.003109909128397703,-0.0002479666727595031
8288,8288000,1,0,0.0006616820464842021,0.001225031912326813,-0.000251233926974237
8388,8388000,1,0,0.0003248571883887053,0.003395420499145985,-0.001161589985713363
8488,8488000,1,0,0.0001076213084161282,0.002313453704118729,-0.0008486170554533601
8588,8588000,1,0,-0.0004756958223879337,0.003212326671928167,-0.0007769255898892879
8688,8688000,1,0,-0.0003093580016866326,0.002305807080119848,0.0006412583170458674
8788,8788000,1,0,0.0002881125546991825,0.002503952011466026,-0.0007408218225464225
8888,8888000,1,0,9.752996265888214e-05,0.002025476889684796,-0.000425712059950456
8988,8988000,1,0,-0.000439654802903533,0.001994835212826729,-0.0005084502045065165
9088,9088000,1,0,-0.000919684418477118,0.003180188126862049,-0.0001712794328341261
9188,9188000,1,0,-9.236996993422508e-05,0.002108081942424178,-0.0006587950047105551
9288,9288000,1,0,-5.793990567326546e-07,0.001113653997890651,-0.0009952842956408858
9388,9388000,1,0,0.0002451868494972587,0.001912330044433475,-0.0001528195571154356
9488,9488000,1,0,-0.0002600329462438822,0.002059685997664928,0.0003178114129696041
9588,9588000,1,0,-0.001284548663534224,0.002453579567372799,-0.0005020595854148269
9688,9688000,1,0,-0.0003595532616600394,0.00322770094498992,-0.000141341399285011
9788,9788000,1,0,-0.0006774183129891753,0.001854844391345978,-0.0005961785209365189
9888,9888000,1,0,-0.001952862017787993,0.001677497872151434,-0.0002642202307470143
9988,9988000,1,0,-8.459808304905891e-05,0.002491146791726351,-0.000672842375934124
10088,10088000,1,0,-0.0003137362655252218,0.001107353717088699,-0.001303376164287329
10188,10188000,1,0,-0.0001966297859326005,0.002545741153880954,-0.0005960008129477501
10288,10288000,1,0,9.547185618430376e-05,0.002340782899409533,-0.0001940249494509771
10388,10388000,1,0,3.815058153122663e-05,0.00244001904502511,-7.273959636222571e-05
10488,10488000,1,0,5.767412949353456e-05,0.002118874341249466,0.000446288293460384
10588,10588000,1,0,-0.0003243566025048494,0.002267003292217851,-0.001136395731009543
10688,10688000,1,0,0.0001284271711483598,0.002873532706871629,5.504590808413923e-05
10788,10788000,1,0,0.0002689349930733442,0.002731947926804423,-0.0003877610433846712
10888,10888000,1,0,0.0006860578432679176,0.001571378437802196,6.3768879044801e-05
10988,10988000,1,0,0.0004328325157985091,0.002557149156928062,-0.0004648414032999426
11088,11088000,1,0,0.0004927596310153604,0.001454142737202346,0.0001360174501314759
11188,11188000,1,0,-0.0003185869427397847,0.002626245375722647,-0.0005310983397066593
11288,11288000,1,0,-0.0006838793633505702,0.001578703988343477,-0.0003947538789361715
11388,11388000,1,0,0.0005141287692822516,0.003136991057544947,-0.0011610520305112
11488,11488000,1,0,0.001197451958432794,0.001969856675714254,-0.0003967868979088962
11588,11588000,1,0,1.075118780136108e-05,0.002273284364491701,0.0005980089772492647
11688,11688000,1,0,0.0003517996519804001,0.001722557237371802,0.0005540434503927827
11788,11788000,1,0,0.0002869309391826391,0.001451382180675864,0.0003071013488806784
11888,11888000,1,0,0.000747942307498306,0.00117335538379848,-0.0008387250127270818
11988,11988000,1,0,-0.0001253298250958323,0.002386262640357018,-0.000700851553119719
12088,12088000,1,0,1.41410855576396e-05,0.003088340628892183,-0.0009689527796581388
12188,12188000,1,0,0.000524438451975584,0.003129628486931324,-6.332615157589316e-06
12288,12288000,1,0,0.001143872505053878,0.002001442015171051,-0.0006033758400008082
12388,12388000,1,0,-0.0001084465766325593,0.003717880696058273,-0.001533525064587593
12488,12488000,1,0,-0.0006073893746361136,0.001932037528604269,-0.0009124743519350886
12588,12588000,1,0,-0.0004470624262467027,0.0024728630669415,-0.000778716173954308
12688,12688000,1,0,0.0001633149804547429,0.002066724468022585,-7.679448026465252e-05
12788,12788000,1,0,0.0002847634023055434,0.002509413519874215,-0.0008734817383810878
12888,12888000,1,0,0.0001549400622025132,0.002735028741881251,-0.0003135984879918396
12988,12988000,1,0,0.0008866623975336552,0.002969321329146624,-0.001434632926248014
13088,13088000,1,0,-0.000463116099126637,0.002204639604315162,-0.0003254154871683568
13188,13188000,1,0,0.0008684605709277093,0.002852610312402248,-3.471440868452191e-05
13288,13288000,1,0,0.0008236046996898949,0.002992851659655571,-0.0003177134785801172
13388,13388000,1,0,0.0007742106099613011,0.002856835490092635,-0.0006952064577490091
13488,13488000,1,0,0.0003701002569869161,0.003064312506467104,-0.0005377618363127112
13588,13588000,1,0,-6.878061685711145e-05,0.002345759188756347,-0.0007674042135477066
13688,13688000,1,0,0.0009610518463887274,0.001482725027017295,-0.0005641421303153038
13788,13788000,1,0,-0.0001928019337356091,0.002555791288614273,-0.0003905786434188485
13888,13888000,1,0,0.0002109440974891186,0.002431682776659727,-0.0001864985970314592
13988,13988000,1,0,-0.0001383565831929445,0.001930382335558534,-0.0003033539396710694
14088,14088000,1,0,0.0006357618840411305,0.001437759725376964,-0.0004840220499318093
14188,14188000,1,0,-3.906548954546452e-05,0.001667571254074574,-0.0007384538184851408
14288,14288000,1,0,0.0001811981201171875,0.003153498284518719,-0.001197457895614207
14388,14388000,1,0,-0.0005701201735064387,0.003169341944158077,-0.0006897525163367391
14488,14488000,1,0,5.213776603341103e-05,0.001762447296641767,-0.001401107525452971
14588,14588000,1,0,-0.0008778247283771634,0.002096047624945641,-0.0007950847502797842
14688,14688000,1,0,4.476378671824932e-05,0.002511179773136973,4.794994310941547e-05
14788,14788000,1,0,-0.0006305371643975377,0.002484583761543036,-0.0004422417550813407
14888,14888000,1,0,0.000133856781758368,0.00182782462798059,-0.0008490864420309663
14988,14988000,1,0,-0.0004471307620406151,0.002659189281985164,6.502091127913445e-05
15088,15088000,1,0,0.001415251521393657,0.003060327377170324,-0.0003998922766186297
15188,15188000,1,0,-0.0003260063240304589,0.001928953919559717,-0.0009123521158471704
15288,15288000,1,0,0.0001279700081795454,0.002230336656793952,0.000137016671942547
15388,15388000,1,0,0.0001504789106547832,0.002727365121245384,-0.0005571196670643985
15488,15488000,1,0,0.0007766254129819572,0.002749963197857141,0.0002579706779215485
15588,15588000,1,0,0.0001534521579742432,0.001997645478695631,-0.000575497979298234
15688,15688000,1,0,0.001300299307331443,0.001964603085070848,-0.0007255552336573601
15788,15788000,1,0,0.001449305680580437,0.001876307651400566,-9.854009113041684e-05
15888,15888000,1,0,-0.0002955221571028233,0.002988740568980575,0.0003920480667147785
15988,15988000,1,0,0.0002374750329181552,0.00191184040158987,-0.000501421105582267
