topic_time_ms,topic_time_us,success,return_code,hdop_raw,pdop_raw,fix_state_raw,vacc_mm,hacc_mm,sacc_cmps,gps_satellites,glonass_or_beidou_satellites,total_satellites,gps_counter
5189,5189000,1,0,9999,9999,0,4294967296,4294967296,99900,0,0,0,13360
5388,5388000,1,0,9999,9999,0,4294967296,4294967296,99900,0,0,0,13361
5588,5588000,1,0,9999,9999,0,4294967296,4294967296,99900,0,0,0,13362
5788,5788000,1,0,9999,9999,0,4294967296,4294967296,99900,0,0,0,13363
5988,5988000,1,0,9999,9999,0,4294967296,4294967296,99900,0,0,0,13364
6188,6188000,1,0,9999,9999,0,4294967296,4294967296,99900,0,0,0,13365
6388,6388000,1,0,9999,9999,0,4294967296,4294967296,99900,0,0,0,13366
6588,6588000,1,0,9999,9999,0,4294967296,4294967296,99900,0,0,0,13367
6788,6788000,1,0,9999,9999,0,4294967296,4294967296,99900,0,0,0,13368
6988,6988000,1,0,9999,9999,0,4294967296,4294967296,99900,0,0,0,13369
7188,7188000,1,0,9999,9999,0,4294967296,4294967296,99900,0,0,0,13370
7388,7388000,1,0,9999,9999,0,4294967296,4294967296,99900,0,0,0,13371
7588,7588000,1,0,9999,9999,0,4294967296,4294967296,99900,0,0,0,13372
7788,7788000,1,0,9999,9999,0,4294967296,4294967296,99900,0,0,0,13373
7988,7988000,1,0,9999,9999,0,4294967296,4294967296,99900,0,0,0,13374
8188,8188000,1,0,9999,9999,0,4294967296,4294967296,99900,0,0,0,13375
8388,8388000,1,0,9999,9999,0,4294967296,4294967296,99900,0,0,0,13376
8588,8588000,1,0,9999,9999,0,4294967296,4294967296,99900,0,0,0,13377
8788,8788000,1,0,9999,9999,0,4294967296,4294967296,99900,0,0,0,13378
8988,8988000,1,0,9999,9999,0,4294967296,4294967296,99900,0,0,0,13379
9188,9188000,1,0,9999,9999,0,4294967296,4294967296,99900,0,0,0,13380
9388,9388000,1,0,9999,9999,0,4294967296,4294967296,99900,0,0,0,13381
9588,9588000,1,0,9999,9999,0,4294967296,4294967296,99900,0,0,0,13382
9788,9788000,1,0,9999,9999,0,4294967296,4294967296,99900,0,0,0,13383
9988,9988000,1,0,9999,9999,0,4294967296,4294967296,99900,0,0,0,13384
10188,10188000,1,0,9999,9999,0,4294967296,4294967296,99900,0,0,0,13385
10388,10388000,1,0,9999,9999,0,4294967296,4294967296,99900,0,0,0,13386
10588,10588000,1,0,9999,9999,0,4294967296,4294967296,99900,0,0,0,13387
10788,10788000,1,0,9999,9999,0,4294967296,4294967296,99900,0,0,0,13388
10988,10988000,1,0,9999,9999,0,4294967296,4294967296,99900,0,0,0,13389
11188,11188000,1,0,9999,9999,0,4294967296,4294967296,99900,0,0,0,13390
11388,11388000,1,0,9999,9999,0,4294967296,4294967296,99900,0,0,0,13391
11588,11588000,1,0,9999,9999,0,4294967296,4294967296,99900,0,0,0,13392
11788,11788000,1,0,9999,9999,0,4294967296,4294967296,99900,0,0,0,13393
11988,11988000,1,0,9999,9999,0,4294967296,4294967296,99900,0,0,0,13394
12188,12188000,1,0,9999,9999,0,4294967296,4294967296,99900,0,0,0,13395
12388,12388000,1,0,9999,9999,0,4294967296,4294967296,99900,0,0,0,13396
12588,12588000,1,0,9999,9999,0,4294967296,4294967296,99900,0,0,0,13397
12788,12788000,1,0,9999,9999,0,4294967296,4294967296,99900,0,0,0,13398
12988,12988000,1,0,9999,9999,0,4294967296,4294967296,99900,0,0,0,13399
13188,13188000,1,0,9999,9999,0,4294967296,4294967296,99900,0,0,0,13400
13388,13388000,1,0,9999,9999,0,4294967296,4294967296,99900,0,0,0,13401
13588,13588000,1,0,9999,9999,0,4294967296,4294967296,99900,0,0,0,13402
13788,13788000,1,0,9999,9999,0,4294967296,4294967296,99900,0,0,0,13403
13988,13988000,1,0,9999,9999,0,4294967296,4294967296,99900,0,0,0,13404
14188,14188000,1,0,9999,9999,0,4294967296,4294967296,99900,0,0,0,13405
14388,14388000,1,0,9999,9999,0,4294967296,4294967296,99900,0,0,0,13406
14588,14588000,1,0,9999,9999,0,4294967296,4294967296,99900,0,0,0,13407
14788,14788000,1,0,9999,9999,0,4294967296,4294967296,99900,0,0,0,13408
14988,14988000,1,0,9999,9999,0,4294967296,4294967296,99900,0,0,0,13409
15188,15188000,1,0,9999,9999,0,4294967296,4294967296,99900,0,0,0,13410
15388,15388000,1,0,9999,9999,0,4294967296,4294967296,99900,0,0,0,13411
15588,15588000,1,0,9999,9999,0,4294967296,4294967296,99900,0,0,0,13412
15788,15788000,1,0,9999,9999,0,4294967296,4294967296,99900,0,0,0,13413
15988,15988000,1,0,9999,9999,0,4294967296,4294967296,99900,0,0,0,13414
16188,16188000,1,0,9999,9999,0,4294967296,4294967296,99900,0,0,0,13415
16388,16388000,1,0,9999,9999,0,4294967296,4294967296,99900,0,0,0,13416
16588,16588000,1,0,9999,9999,0,4294967296,4294967296,99900,0,0,0,13417
16788,16788000,1,0,9999,9999,0,4294967296,4294967296,99900,0,0,0,13418
16988,16988000,1,0,9999,9999,0,4294967296,4294967296,99900,0,0,0,13419
17188,17188000,1,0,9999,9999,0,4294967296,4294967296,99900,0,0,0,13420
17388,17388000,1,0,9999,9999,0,4294967296,4294967296,99900,0,0,0,13421
17588,17588000,1,0,9999,9999,0,4294967296,4294967296,99900,0,0,0,13422
17788,17788000,1,0,9999,9999,0,4294967296,4294967296,99900,0,0,0,13423
17988,17988000,1,0,9999,9999,0,4294967296,4294967296,99900,0,0,0,13424
18188,18188000,1,0,9999,9999,0,4294967296,4294967296,99900,0,0,0,13425
18388,18388000,1,0,9999,9999,0,4294967296,4294967296,99900,0,0,0,13426
